image_name;cell_number
p101;11
p107;11
p111;9
p114;11
p121;12
p127;12
p130;8
p133;13
p133;9
p154;3
p155;15
p156;4
p156;16
p156;5
p158;9
p161;13
p161;13
p164;12
p181;12
p183;11
p193;3
p23;16
p68;8
p69;16
p71;14
p81;16
p85;16
p89;11
p93;8
